case_id,rule_id,statement_id,feedback_verdict,partial_reason,unknown_reason,learnable,learning_lane,source,domain,school,family,rule_type,needs_mapping_repair,case_feedback_missing,case_fallback,fallback_reason
C-2026-001-乾-庚申戊寅壬子辛丑,UNMAPPED,UNMAPPED-C-2026-001-乾-庚申戊寅壬子辛丑-0175,pending,,未反馈,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-001-乾-庚申戊寅壬子辛丑,UNMAPPED,UNMAPPED-C-2026-001-乾-庚申戊寅壬子辛丑-0194,pending,,空字段,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-002-坤-壬戌庚戌戊辰丙辰,UNMAPPED,UNMAPPED-C-2026-002-坤-壬戌庚戌戊辰丙辰-0044,n,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-002-坤-壬戌庚戌戊辰丙辰,UNMAPPED,UNMAPPED-C-2026-002-坤-壬戌庚戌戊辰丙辰-0045,y,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-002-坤-壬戌庚戌戊辰丙辰,UNMAPPED,UNMAPPED-C-2026-002-坤-壬戌庚戌戊辰丙辰-0046,pending,领域错,,false,domain,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-002-坤-壬戌庚戌戊辰丙辰,UNMAPPED,UNMAPPED-C-2026-002-坤-壬戌庚戌戊辰丙辰-0048,pending,领域错,,false,domain,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-002-坤-壬戌庚戌戊辰丙辰,UNMAPPED,UNMAPPED-C-2026-002-坤-壬戌庚戌戊辰丙辰-0061,n,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-002-坤-壬戌庚戌戊辰丙辰,UNMAPPED,UNMAPPED-C-2026-002-坤-壬戌庚戌戊辰丙辰-0062,pending,领域错,,false,domain,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-002-坤-壬戌庚戌戊辰丙辰,UNMAPPED,UNMAPPED-C-2026-002-坤-壬戌庚戌戊辰丙辰-0076,pending,部分命中,,false,event,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-002-坤-壬戌庚戌戊辰丙辰,UNMAPPED,UNMAPPED-C-2026-002-坤-壬戌庚戌戊辰丙辰-0099,y,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-002-坤-壬戌庚戌戊辰丙辰,UNMAPPED,UNMAPPED-C-2026-002-坤-壬戌庚戌戊辰丙辰-0100,y,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-002-坤-壬戌庚戌戊辰丙辰,UNMAPPED,UNMAPPED-C-2026-002-坤-壬戌庚戌戊辰丙辰-0101,pending,强度错,,false,strength,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-002-坤-壬戌庚戌戊辰丙辰,UNMAPPED,UNMAPPED-C-2026-002-坤-壬戌庚戌戊辰丙辰-0121,n,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-002-坤-壬戌庚戌戊辰丙辰,UNMAPPED,UNMAPPED-C-2026-002-坤-壬戌庚戌戊辰丙辰-0122,pending,部分命中,,false,event,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-002-坤-壬戌庚戌戊辰丙辰,UNMAPPED,UNMAPPED-C-2026-002-坤-壬戌庚戌戊辰丙辰-0144,pending,部分命中,,false,event,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-007-乾-乙丑庚辰己丑庚午,UNMAPPED,UNMAPPED-C-2026-007-乾-乙丑庚辰己丑庚午-0011,y,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-007-乾-乙丑庚辰己丑庚午,UNMAPPED,UNMAPPED-C-2026-007-乾-乙丑庚辰己丑庚午-0012,n,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-007-乾-乙丑庚辰己丑庚午,UNMAPPED,UNMAPPED-C-2026-007-乾-乙丑庚辰己丑庚午-0020,y,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-007-乾-乙丑庚辰己丑庚午,UNMAPPED,UNMAPPED-C-2026-007-乾-乙丑庚辰己丑庚午-0021,y,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-007-乾-乙丑庚辰己丑庚午,UNMAPPED,UNMAPPED-C-2026-007-乾-乙丑庚辰己丑庚午-0022,y,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-007-乾-乙丑庚辰己丑庚午,UNMAPPED,UNMAPPED-C-2026-007-乾-乙丑庚辰己丑庚午-0023,y,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-007-乾-乙丑庚辰己丑庚午,UNMAPPED,UNMAPPED-C-2026-007-乾-乙丑庚辰己丑庚午-0024,y,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-007-乾-乙丑庚辰己丑庚午,UNMAPPED,UNMAPPED-C-2026-007-乾-乙丑庚辰己丑庚午-0025,y,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-007-乾-乙丑庚辰己丑庚午,UNMAPPED,UNMAPPED-C-2026-007-乾-乙丑庚辰己丑庚午-0026,y,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-007-乾-乙丑庚辰己丑庚午,UNMAPPED,UNMAPPED-C-2026-007-乾-乙丑庚辰己丑庚午-0028,pending,,未反馈,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-008-坤-壬申癸卯丁未壬寅,UNMAPPED,UNMAPPED-C-2026-008-坤-壬申癸卯丁未壬寅-0009,y,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-008-坤-壬申癸卯丁未壬寅,UNMAPPED,UNMAPPED-C-2026-008-坤-壬申癸卯丁未壬寅-0010,y,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-008-坤-壬申癸卯丁未壬寅,UNMAPPED,UNMAPPED-C-2026-008-坤-壬申癸卯丁未壬寅-0011,y,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-008-坤-壬申癸卯丁未壬寅,UNMAPPED,UNMAPPED-C-2026-008-坤-壬申癸卯丁未壬寅-0012,y,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-008-坤-壬申癸卯丁未壬寅,UNMAPPED,UNMAPPED-C-2026-008-坤-壬申癸卯丁未壬寅-0013,y,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-008-坤-壬申癸卯丁未壬寅,UNMAPPED,UNMAPPED-C-2026-008-坤-壬申癸卯丁未壬寅-0014,y,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
C-2026-008-坤-壬申癸卯丁未壬寅,UNMAPPED,UNMAPPED-C-2026-008-坤-壬申癸卯丁未壬寅-0015,y,,,false,non_learning,unmapped_line,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,true,false,true,ModuleNotFoundError('No module named tools')
