case_id,statement_id,rule_id,family_id,school,canon,rule_type,verdict,learnable,record_present,domain,year
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-c6daf2,MR-LAYER2,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,学业,1996
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-c6daf2,MR-LAYER3,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,学业,1996
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-c6daf2,M3-R-031.6,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,学业,1996
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-197fdf,MR-LAYER1,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2001
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-197fdf,MR-LAYER2,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2001
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-197fdf,MR-LAYER3,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2001
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-197fdf,M3-R-031.6,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2001
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-aa45ea,MR-LAYER1,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2004
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-aa45ea,MR-LAYER2,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2004
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-aa45ea,MR-LAYER3,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2004
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-aa45ea,M3-R-031.6,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2004
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-99bef5,MR-LAYER1,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2010
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-99bef5,MR-LAYER2,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2010
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-99bef5,MR-LAYER3,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2010
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-99bef5,M3-R-031.6,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2010
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-dac9b4,MR-LAYER1,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2015
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-dac9b4,MR-LAYER2,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2015
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-dac9b4,MR-LAYER3,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2015
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-dac9b4,M3-R-031.6,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2015
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-d7b460,MR-LAYER1,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2017
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-d7b460,MR-LAYER2,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2017
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-d7b460,MR-LAYER3,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2017
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-d7b460,M3-R-031.6,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2017
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-252109,MR-LAYER1,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2020
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-252109,MR-LAYER2,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2020
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-252109,MR-LAYER3,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2020
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-252109,M3-R-031.6,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2020
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-cf34c1,MR-LAYER1,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2021
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-cf34c1,MR-LAYER2,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2021
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-cf34c1,MR-LAYER3,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2021
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-cf34c1,M3-R-031.6,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2021
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-e02d42,MR-LAYER1,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2022
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-e02d42,MR-LAYER2,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2022
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-e02d42,MR-LAYER3,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2022
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-e02d42,M3-R-031.6,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2022
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-b51502,MR-LAYER1,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2024
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-b51502,MR-LAYER2,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2024
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-b51502,MR-LAYER3,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2024
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-b51502,M3-R-031.1,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2024
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-e15653,MR-LAYER1,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2025
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-e15653,MR-LAYER2,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2025
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-e15653,MR-LAYER3,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2025
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-e15653,M3-R-031.6,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,事业,2025
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-abb036,GP-红艳煞,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-166636,GP-羊刃,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-8a2d8d,GP-童子煞,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-2dbda1,GP-金舆,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-575760,GP-CH-09,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
C-2026-015-乾-甲寅乙亥丙辰辛卯,S-015-1119c6,GP-BD-12,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,pending,false,true,,
